Site,Day,Date,StartTime,EndTime,Flow
N01171A,MO,03-08-2020,13:15,13:30,156
N01171A,MO,03-08-2020,13:30,13:45,125
N01171A,MO,03-08-2020,13:45,14:00,177
N01171A,MO,03-08-2020,14:00,14:15,234
N01171A,MO,03-08-2020,14:15,14:30,161
N01171A,MO,03-08-2020,14:30,14:45,153
N01171A,MO,03-08-2020,14:45,15:00,214
N01171A,MO,03-08-2020,15:00,15:15,167
N01171A,MO,03-08-2020,15:15,15:30,187
N01171A,MO,03-08-2020,15:30,15:45,133
N01171A,MO,03-08-2020,15:45,16:00,231
N01171A,MO,03-08-2020,16:00,16:15,168
N01171A,MO,03-08-2020,16:15,16:30,125
N01171A,MO,03-08-2020,16:30,16:45,186
N01171A,MO,03-08-2020,16:45,17:00,206
N01171A,MO,03-08-2020,17:00,17:15,213
N01171A,MO,03-08-2020,17:15,17:30,188
N01171A,MO,03-08-2020,17:30,17:45,183
N01171A,MO,03-08-2020,17:45,18:00,166
N01171A,MO,03-08-2020,18:00,18:15,163
